customer_id,customer_name,city,customer_type,created_at
C0465,Manbir Lata,Morbi,Premium,2026-03-07
C0466,Shravya Dhawan,Panchkula,Regular,2025-07-11
C0467,Diya Dhar,Madhyamgram,Premium,2025-09-24
C0468,Udyati Salvi,Pali,Regular,2024-11-16
C0469,Elijah Mall,Gwalior,Premium,2025-06-18
C0470,Udant Bir,Sambhal,Regular,2026-03-26
C0471,Nidhi Mutti,Serampore,Regular,2026-03-09
C0472,Chandresh Prasad,Ulhasnagar,Premium,2026-01-07
C0473,Bachittar Kapur,Jaunpur,Premium,2026-05-10
C0474,Edhitha Taneja,Davanagere,Regular,2026-04-29
C0475,Sai Anne,Nadiad,Regular,2025-10-22
C0476,Chakrika Dey,Panipat,Premium,2026-07-08
C0477,Saksham Manda,Ongole,Premium,2025-09-16
C0478,Qarin Swamy,Kishanganj,Premium,2025-02-17
C0479,Devansh Sibal,Purnia,Premium,2026-06-20
C0480,Kala Dugar,Unknown,Premium,2026-08-20
C0481,Ati Subramaniam,Gudivada,Premium,2026-07-16
C0482,Azad Prakash,Kumbakonam,Regular,2025-07-21
C0483,Yahvi Srivastava,Medininagar,Regular,2024-12-31
C0484,Aahana Nair,Madanapalle,Regular,2026-03-23
C0485,Vrinda Thaker,Naihati,Premium,2026-04-25
C0486,Tripti Thaker,Kurnool,Regular,2025-07-16
C0487,Omkaar Karnik,Srinagar,Premium,2025-12-04
C0488,Hema Hans,Bijapur,Premium,2025-09-23
C0489,Samar Bajaj,Miryalaguda,Regular,2025-03-24
C0490,Dakshesh Dara,Pudukkottai,Premium,2026-08-29
C0491,Frado Babu,Junagadh,Premium,2024-12-10
C0492,Christopher Sodhi,Salem,Premium,2025-07-24
C0493,Harshil Wadhwa,Mira-Bhayandar,Regular,2025-12-21
C0494,Nicholas Sandal,Farrukhabad,Regular,2025-10-31
C0495,Rajata Kala,Mumbai,Regular,2024-09-05
C0496,Kashvi Sundaram,Buxar,Regular,2025-08-12
C0497,Aishani Deep,Nanded,Regular,2026-05-15
C0498,Zansi Oak,Kurnool,Premium,2025-02-18
C0499,Abhiram Chokshi,Aizawl,Regular,2026-01-28
C0500,Aadi Kala,Khandwa,Premium,2026-05-02
